index,name,dialogue
1,,(딸랑)
2,하나,"어, 어서 오세요~"
3,하나,(꼬마 아이?)
4,여자아이,여기가 의뢰한 대로 디저트를 만들어 주는 곳 맞나여?
5,하나,"어... 네, 맞아요! 어떤 걸 만들어 줄까요?"
6,여자아이,아무거나 엄청 화려한 거여!
7,하나,화려하기만 하면 되는 거에요? 어디에 쓰일 디저트에요?
8,하나,"(초등학생 정도 되어 보이는데, 화려한 거면 무슨 파티라도 하려는 건가?)"
9,여자아이,사실 제가 저번 주에 전학을 왔는데여.
10,여자아이,아직 반 애들이랑 못 친해져서여.
11,여자아이,"3일 뒤에 학교에서 간식 파티 하기로 했는데,"
12,여자아이,그때 엄청 화려하고 멋진 디저트 가져가서 친해지려구여!
13,하나,"아하, 그런 거라면..."
14,하나,(저 나이 때 아이들이 좋아할 만하게 만들어야겠네.)
15,하나,알겠어요! 딱 인기 있을 만한 디저트로 만들어 줄게요.
16,하나,이틀 뒤에 찾으러 와요!
17,여자아이,넹! 감사합니다!
,,
1001,여자아이,안녕하세여!
1002,여자아이,화려한 디저트 의뢰했던 거 받으러 왔어여!
,,
2001,여자아이,와! 딱 제가 생각했던 디저트에여!
2002,여자아이,이거로 친구 많이 만들 수 있겠어여! 감사합니당!
,,
3001,여자아이,...이게 저한테 주실 디저트에여?
3002,여자아이,이건 아무도 안 부러워할 것 같은데...
3003,여자아이,뭐 어쩔 수 없져...
,,
4001,여자아이,네? 완성이 안 됐다고여?
4002,여자아이,당장 내일 가져가야 하는데 어떡해여!!
4003,여자아이,다신 여기 안 올 거에여!!
